zcwyhmc,dz,lxfs
五峰土家族自治县劳动人事争议仲裁委员会,五峰土家族自治县渔洋关镇后河大道27号行政服务中心615室,0717-5822253
兴山县劳动人事争议仲裁委员会,兴山县古夫镇昭君路8号兴山县人社局一楼劳动保障维权服务中心,0717-2584165
宜昌市伍家岗区劳动人事争议仲裁委员会,宜昌市伍家岗区东山大道376-2号二楼201室,0717-6359299
宜昌市劳动人事争议仲裁委员会,宜昌市体育场路46号宜昌市民之家2E01室,0717-6056761
宜昌市夷陵区劳动人事争议仲裁委员会,宜昌市夷陵区湖光路7号,0717-7201510
宜昌市点军区劳动人事争议仲裁委员会,宜昌市点军区五龙阳光小区商业A栋二楼人社服务中心2078室,0717-6673810
宜昌市猇亭区劳动人事争议仲裁委员会,宜昌市猇亭区猇亭大道180号猇亭市民之家三楼仲载院办公室,0717-6515481
宜昌市西陵区劳动人事争议仲裁委员会,宜昌市西陵区西陵二路72号综合服务大厅二楼仲裁院办公室,0717-6916301
宜昌高新技术产业开发区劳动人事争议仲裁委员会,宜昌市大连路33号1号楼,0717-6210780
宜都市劳动人事争议仲裁委员会,宜都市陆城街办长江大道219号人力资源和社会保障局一楼“维权服务中心”,0717-4728372
当阳市劳动人事争议仲裁委员会,当阳市东群路54号人社局院内1栋二楼仲裁院,0717-3254990
枝江市劳动人事争议仲裁委员会,枝江市礼化路100号2楼“劳动维权中心”,0717-4219256
秭归县劳动人事争议仲裁委员会,秭归县长宁大道24号606室,0717-2883850
远安县劳动人事争议仲裁委员会,湖北省远安县鸣凤镇鸣凤大道35号人社局403室,0717-3812253
长阳土家族自治县劳动人事争议仲裁委员会,长阳龙舟坪镇秋潭路18号县人社局3楼3068室,0717-5333256
