jgmc,txdz,lxfs
五峰土家族自治县公共就业和人才服务局,宜昌市五峰土家族自治县渔洋关镇后河大道27号,0717-5822400
兴山县公共就业服务中心,宜昌市兴山县昭君路8号,0717-2584185
夷陵区人力资源信息和档案服务中心,宜昌市夷陵区平湖大道31号,0717-7819520
宜昌市伍家岗区创业就业指导服务中心,宜昌市伍家岗区东山大道376-2号,0717-6359226
宜昌市劳动就业管理局,宜昌市西陵区体育场路46号市民之家,0717-6748942
宜昌市猇亭区公共就业和人才服务局,宜昌市猇亭区猇亭大道203号,0717-6510856
宜昌市西陵区公共就业服务中心,宜昌市西陵区西陵二路72号,0717-6915472、0717-6915475
宜昌高新技术产业开发区人才服务中心,宜昌市开发区发展大道55号政务服务大厅社会保障窗口,0717-6985130、0717-6339233
宜都市公共就业和人才服务中心,宜都市政务服务中心一楼C区人社档案代理窗口（五宜大道99号）,0717-4728049
当阳市人力资源和社会保障档案中心,宜昌市当阳市东群路54号,0717-3282336、0717-3229256
枝江市公共就业和人才服务局,宜昌市枝江市公园路113号,0717-4219180
点军区公共就业和人才服务局,宜昌市点军区五龙阳光小区人社服务大厅,0717-6673735
秭归县公共就业和人才服务局,宜昌市秭归县金缸城新区南郡大道12号一楼人社大厅A11号窗口,0717-2882036
远安县公共就业和人才服务中心,宜昌市远安县鸣凤镇鸣凤大道35号,0717-3822848
长阳土家族自治县公共就业和人才服务局,宜昌市长阳土家族自治县龙舟坪镇秋潭路18号人社局一楼6号窗口,0717-5326379
