xh,qy,jd,lxdh,dz,kbzcw
1,西陵区,国贸大酒店,0717-6089888,西陵区云集路1号,20
2,西陵区,城市便捷酒店,0717-6867666,西陵区云集路31号,10
3,西陵区,丽佳时尚酒店,0717-6692333,西陵区东山大道101号,10
4,西陵区,全天美宿青春舱·轻居酒店,0717-6998022,西陵区东山大道126号,20
5,西陵区,峡州宾馆,0717-8866888,西陵区夷陵大道78号,10
6,伍家岗区,宜尚酒店,0717-6621111,伍家岗区城东大道137号,20
7,伍家岗区,格林豪泰酒店,0717-6551777,伍家岗区东山大道314号,10
8,伍家岗区,你好酒店,0717-6368888,伍家岗区桔城路6-6-8,10
9,伍家岗区,秋朵酒店,0717-6832678,伍家岗区桔城路6-6-8,10
10,伍家岗区,维也纳国际酒店,0717-6989999,伍家岗区桔乡路共同大厦1F,10
11,点军区,谷寓（奥体中心店）,0717-6859999,银河路118号百联慧谷创意科技园,10
12,点军区,泊兮·江南酒店,0717-6619999,点军区将军路1号,20
13,猇亭区,宜昌蓝悦酒店,0717-6511999,猇亭区猇亭大道203号,10
14,高新区,民生酒店,0717-6268888,高新区发展大道21号,20
15,高新区,水悦城酒店,0717-6689999,高新区发展大道13号,10
16,高新区,长城假日酒店,0717-6060000,高新区发展大道62号,10
17,高新区,星耀拾光酒店,0717-6216999,高新区青岛路20号,10
18,宜都市,宜都市委党校,0717-4843880,宜都市纺织路186号,10
19,宜都市,宜都大酒店,0717-4843880,宜都市长江大道86号,10
20,枝江市,枝江金湖大酒店,0717-4214584,枝江市仙女大道18号,10
21,枝江市,枝江四季港酒店,0717-4214584,枝江市仙女大道192号,10
22,枝江市,枝江卫民生态园酒店,0717-4214584,枝江市东湖大道199号,10
23,枝江市,枝江国际大酒店,0717-4214584,枝江市马家店胜利路32号,10
24,枝江市,枝江铂尔曼酒店,0717-4214584,枝江市公园路140号,10
25,枝江市,枝江石化宾馆,0717-4214584,枝江市迎宾大道10号,10
26,枝江市,枝江皇廷大酒店,0717-4214584,枝江市迎宾大道25号,10
27,枝江市,枝江丽橙酒店,0717-4214584,枝江市迎宾大道28号,10
28,夷陵区,宜昌稻花香宾馆,0717-7761111,夷陵区龙泉镇龙泉村15组,10
29,夷陵区,城市便捷酒店,0717-7781888,夷陵区夷兴大道15号,10
30,夷陵区,全季酒店,0717-7711888,夷陵区夷兴大道35号,10
