xh,pcrq,xmqy,xmmc,jsdw,sgdw,jldw,sbly,bz
1,2024年第二十六期,伍家岗区,湖北宜昌英杰学校（高中部）迁建项目（食堂、风雨操场、宿舍一、宿舍二、连廊1、连廊2、门房）,宜昌英杰学校,天恩集团（宜昌）建设有限公司,湖北宜昌君逸工程咨询有限公司,12月9日，市资建局第三方检查发现该项目未落实重污染天气黄色预警Ⅲ级应急响应措施，现场存在挖机进行土石方作业的情况，且出入车辆未落实百分百冲洗措施，出入口存在明显带泥上路迹象。,
2,2024年第二十六期,宜都市,永鸿机械再制造湖北有限公司年产500台工程机械再制造项目,永鸿工程机械再制造湖北有限公司,宜都市兴宜建筑工程有限公司,湖北壵泰项目管理有限公司,市生态环境局冬防期扬尘专班巡查该项目，内部道路积尘明显。,
3,2024年第二十六期,兴山县,兴山县寒溪口高铁搅拌站弃渣场场坪工程,兴山县经济发展投资有限公司,湖北焘跃工程建设有限公司,湖北海业工程咨询设计有限公司,12月8日我市发布重污染天气黄色预警，启动Ⅲ级应急响应期间，市生态环境局冬防期扬尘专班巡查该项目未落实应急响应措施，未按要求停止土石方作业，且施工机械冒黑烟，施工区域无降尘措施。,
4,2024年第二十六期,点军区,江南-天街商业综合体项目,湖北江蓝商业管理有限责任公司,湖北金峰润泽建筑工程有限公司,湖北兴陵建设咨询有限公司,12月8日我市发布重污染天气黄色预警，启动Ⅲ级应急响应期间，市生态环境局冬防期扬尘专班巡查该项目未落实应急响应措施，未按要求停止土石方作业，现场旋挖机械作业扬尘明显。,
5,2024年第二十六期,夷陵区,宜昌市港窑路夷陵区段道路（二期）工程,宜昌中核港窑路建设项目管理有限公司,中国核工业第二二建设有限公司,宜昌宏业工程项目管理有限公司北京东方华太建设监理有限公司,12月8日我市发布重污染天气黄色预警，启动Ⅲ级应急响应期间，市生态环境局冬防期扬尘专班巡查该项目未落实应急响应措施，未按要求停止土石方作业。,
6,2024年第二十六期,点军区,点军区天浩商业广场建设项目,宜昌天浩文旅发展有限公司,宜昌首安建设工程有限公司,湖北长阳清江项目管理有限公司,12月8日我市发布重污染天气黄色预警，启动Ⅲ级应急响应期间，市生态环境局冬防期扬尘专班巡查该项目未落实应急响应措施，未按要求停止外墙喷涂作业。,
7,2024年第二十六期,当阳市,当阳市职业技术教育中心迁移项目,当阳市职业技术教育中心,湖北康泰建筑有限责任公司,中韬华胜工程科技有限公司,12月8日我市发布重污染天气黄色预警，启动Ⅲ级应急响应期间，市生态环境局冬防期扬尘专班巡查该项目该项目道路积尘严重，通行区域扬尘严重。,
8,2024年第二十六期,当阳市,当阳第一高级中学迁移项目,当阳市第一高级中学,中南建筑设计院股份有限公司,中韬华胜工程科技有限公司,12月8日我市发布重污染天气黄色预警，启动Ⅲ级应急响应期间，市生态环境局冬防期扬尘专班巡查该项目该项目道路积尘、扬尘严重，冲洗槽长时间未清理，大量裸土未覆盖。,
9,2024年第二十六期,当阳市,当阳市城西高铁新城站前广场（市政道路）项目,当阳市鑫泉产业开发有限公司,湖北华信建设工程有限公司,武汉星宇建设咨询有限公司,12月8日我市发布重污染天气黄色预警，启动Ⅲ级应急响应期间，市生态环境局冬防期扬尘专班巡查该项目该项目车辆出入无冲洗设施，带泥上路明显，通行区域扬尘较大。,
10,2024年第二十七期,高新区,型材智能制造（4#、5#）,湖北宏之炜型材工业制造有限公司,湖北国博建设有限公司,湖北炘越建设项目管理有限公司,2024年12月10日，巡查发现该项目场内存在未严格落实扬尘管控“10个100%”、道路未完全硬化等情况。,
11,2024年第二十七期,宜都市,中国供销·宜都商贸物流园（宜都县域集采集配中心）,宜都市供销商贸物流有限公司,中建三局集团有限公司,湖北大靖建设项目管理有限公司,12月13日宜昌市发布重污染天气黄色预警，启动Ⅲ级应急响应期间，扬尘防治专项巡查该项目未落实应急响应措施，未按要求停止土石方作业。,
12,2024年第二十七期,宜都市,宜昌产投（宜都）绿色智能船舶产业园区基础设施建设项目（一期工程项目）,宜昌产投达江产业园区运营管理有限公司,中建三局集团有限公司宜昌华鼎建筑工程有限公司,湖北亚太建设监理有限责任公司,12月18日，我市重污染天气黄色预警启动Ⅲ级应急响应期间，市生态环境局冬防期扬尘专班巡查该项目未落实停止土方作业管控要求。,
13,2024年第二十七期,宜都市,宜都市绿色智能船舶产业园配套道路建设工程（一期）,宜都市国通高新示范园区运营管理有限公司,中建三局第三建设工程有限责任公司,葛洲坝集团项目管理有限公司,12月18日，我市重污染天气黄色预警启动Ⅲ级应急响应期间，市生态环境局冬防期扬尘专班巡查该项目未落实停止土方作业管控要求。,
14,2024年第二十七期,当阳市,当阳市玉泉新建安置房（书香云境）项目,当阳市润泉项目管理有限责任公司,湖北工建基础设施建设有限公司,宜昌安泰建设监理有限公司,我市重污染天气黄色预警启动Ⅲ级应急响应期间，扬尘防治专项巡查该项目未落实应急响应措施，建筑垃圾堆放混乱、出入口带泥上路明显。,
15,2024年第二十七期,/,/,/,/,/,在2024年11月宜昌市工程造价咨询行业常态化检查中评为较差。,"企业名称：湖北明审工程技术有限公司

项目负责人：曹红霞"
